name	ra	dec	significance	error_ellipse_r0	error_ellipse_r1	error_ellipse_angle	par_name
2CXO J111959.4+063641	169.997826	6.611406	4.72	1.15967	0.635	136.167	Par001
2CXO J112001.2+063610	170.005175	6.602871	2.56	2.95072	1.25791	138.979	Par001
2CXO J112008.8+063438	170.036895	6.577439	2.21	3.47885	3.47885	0.0	Par001
2CXO J112009.1+063814	170.038094	6.63749	4.32	0.84893	0.68204	119.97	Par001
2CXO J114824.6+524847	177.102851	52.813074	2.7	1.34088	0.67603	177.741	Par002
2CXO J114824.3+524815	177.101473	52.804438	7.08	0.4286	0.34479	175.473	Par002
2CXO J114825.1+524724	177.104584	52.790179	6.72	0.6946	0.43927	170.29	Par002
2CXO J114831.2+524807	177.130191	52.802157	3.29	1.17873	0.66302	172.773	Par002
2CXO J114833.2+524845	177.138346	52.812741	2.54	1.30021	0.62762	166.376	Par002
2CXO J114833.5+524939	177.139606	52.827699	5.41	0.47632	0.36327	148.694	Par002
2CXO J114835.3+524912	177.147131	52.820118	3.14	0.9993	0.50175	150.461	Par002
2CXO J114835.5+524903	177.148149	52.817761	4.0	0.74983	0.48084	162.723	Par002
2CXO J114837.4+524717	177.156038	52.788297	6.51	0.82563	0.5703	177.553	Par002
2CXO J114839.8+524721	177.166152	52.789209	3.58	1.86516	0.67159	163.427	Par002
2CXO J114840.1+524928	177.167396	52.824583	2.83	1.21562	0.62959	153.285	Par002
2CXO J114847.2+524555	177.196718	52.765296	3.18	2.60573	1.31492	152.307	Par002
2CXO J114850.2+524830	177.209339	52.808516	9.67	0.72199	0.47591	162.348	Par002
2CXO J100127.8+022358	150.366096	2.399474	3.82	0.44658	0.36958	47.738	Par003
2CXO J100130.5+022528	150.377499	2.424639	3.26	0.59495	0.55183	175.451	Par003
2CXO J100136.4+022238	150.401802	2.377432	2.8	2.04033	1.58363	125.643	Par003
2CXO J100136.7+022323	150.402973	2.389866	6.9	0.44173	0.36131	131.696	Par003
2CXO J100137.0+022410	150.404538	2.402859	3.76	0.40756	0.37542	115.934	Par003
2CXO J100137.5+022155	150.406679	2.365482	3.37	0.57294	0.46855	136.884	Par003
2CXO J100138.7+022126	150.411463	2.357391	4.72	0.85155	0.73673	136.793	Par003
