,chandra,xmm,milliquas,lrd
Par001,4.0,14.0,2.0,0.0
Par002,13.0,16.0,1.0,0.0
Par003,19.0,11.0,8.0,7.0
Par004,2.0,0.0,0.0,0.0
Par005,18.0,6.0,5.0,0.0
Par006,10.0,6.0,5.0,0.0
Par007,0.0,2.0,0.0,0.0
Par008,1.0,10.0,1.0,0.0
Par009,5.0,0.0,1.0,0.0
Par010,0.0,4.0,0.0,0.0
Par011,2.0,0.0,0.0,0.0
Par012,0.0,0.0,0.0,0.0
Par013,0.0,0.0,1.0,0.0
Par014,5.0,0.0,0.0,0.0
Par015,0.0,0.0,0.0,0.0
Par016,0.0,0.0,0.0,0.0
Par017,10.0,4.0,6.0,8.0
Par018,0.0,0.0,0.0,0.0
Par019,0.0,0.0,1.0,0.0
Par020,19.0,8.0,7.0,0.0
Par021,0.0,0.0,0.0,0.0
Par022,11.0,13.0,1.0,0.0
Par023,15.0,8.0,8.0,6.0
Par024,13.0,6.0,9.0,7.0
Par025,24.0,14.0,12.0,5.0
Par026,14.0,6.0,7.0,21.0
Par027,1.0,10.0,0.0,0.0
Par028,14.0,7.0,7.0,19.0
Par029,14.0,8.0,10.0,1.0
Par030,0.0,7.0,3.0,0.0
Par031,2.0,8.0,0.0,0.0
Par032,17.0,13.0,0.0,0.0
Par033,3.0,0.0,1.0,0.0
Par034,0.0,0.0,1.0,0.0
Par035,6.0,11.0,0.0,0.0
Par036,0.0,1.0,0.0,0.0
Par037,0.0,9.0,2.0,0.0
Par038,50.0,0.0,32.0,1.0
Par039,0.0,0.0,1.0,0.0
Par040,1.0,3.0,0.0,0.0
Par041,5.0,0.0,2.0,0.0
Par042,0.0,0.0,0.0,0.0
Par043,1.0,10.0,1.0,0.0
Par044,0.0,0.0,0.0,0.0
Par045,0.0,0.0,0.0,0.0
Par046,4.0,1.0,3.0,0.0
Par047,3.0,3.0,3.0,0.0
Par048,1.0,1.0,1.0,0.0
Par049,20.0,13.0,9.0,4.0
Par050,13.0,12.0,5.0,0.0
Par051,11.0,5.0,8.0,2.0
Par052,12.0,9.0,8.0,3.0
Par053,14.0,4.0,4.0,1.0
Par054,0.0,4.0,3.0,0.0
Par055,0.0,4.0,1.0,0.0
Par056,1.0,9.0,1.0,0.0
Par057,4.0,8.0,0.0,0.0
Par058,0.0,0.0,0.0,0.0
Par059,4.0,10.0,4.0,0.0
Par060,17.0,0.0,4.0,0.0
Par061,0.0,0.0,3.0,0.0
Par062,0.0,0.0,2.0,0.0
Par063,3.0,0.0,0.0,0.0
