detid,srcid,name,src_num,obsid,ra,dec,error_radius,ep_extent,ep_extent_error,ep_extent_ml,sc_ra,sc_dec,sc_poserr,sc_det_ml,par_name
106939903015035,206939901010018,4XMM J112008.5+063405,37,0693990301,170.035439,6.568478,0.71586,0,,1.2827,170.03542068,6.56826808,0.32652,356.99,Par001
108849904010129,206939902015162,4XMM J112011.6+063417,129,0884990401,170.048016,6.571153,1.61687,0,,-0.57064,170.04853294,6.57146754,0.96204,20.004,Par001
106939902010003,206939901010002,4XMM J112014.8+063341,3,0693990201,170.061889,6.561526,0.25872,0,,-3.2783,170.06188710,6.56147830,0.14797,5756.5,Par001
106939901010002,206939901010002,4XMM J112014.8+063341,2,0693990101,170.061965,6.561312,0.34063,0,,-3.1646,170.06188710,6.56147830,0.14797,5756.5,Par001
106939902010158,206939902010158,4XMM J112005.6+063733,156,0693990201,170.023419,6.626065,1.82468,0,,-0.21713,170.02341919,6.62606455,1.82468,7.8045,Par001
106939902010101,206939902010101,4XMM J112015.2+063654,101,0693990201,170.062782,6.614635,1.87237,0,,-0.38596,170.06369527,6.61516648,1.00161,20.465,Par001
106939903010045,206939901010044,4XMM J112006.7+063351,48,0693990301,170.028105,6.564279,0.77564,0,,-1.6097,170.02801307,6.56421585,0.46808,142.67,Par001
106939901010088,206939901010088,4XMM J112009.8+063337,86,0693990101,170.041097,6.560368,1.82430,0,,-0.5415,170.04109702,6.56036806,1.82430,9.3716,Par001
106939902010013,206939901010010,4XMM J111959.5+063641,13,0693990201,169.997987,6.611472,0.30840,0,,-2.4383,169.99799284,6.61145574,0.19795,1038.9,Par001
106939903010129,206939902015101,4XMM J112008.5+063442,97,0693990301,170.036057,6.578413,1.17217,0,,-0.81227,170.03576225,6.57841227,0.73580,30.435,Par001
106939902010136,206939902010136,4XMM J112002.0+063609,136,0693990201,170.008600,6.602649,1.83650,0,,-0.46197,170.00860014,6.60264893,1.83650,6.8109,Par001
106939903010079,206939902010101,4XMM J112015.2+063654,77,0693990301,170.064061,6.615380,1.18549,0,,-0.78561,170.06369527,6.61516648,1.00161,20.465,Par001
106939901010010,206939901010010,4XMM J111959.5+063641,11,0693990101,169.998134,6.611374,0.55094,0,,-1.9796,169.99799284,6.61145574,0.19795,1038.9,Par001
108849904010128,208849904010128,4XMM J112011.5+063541,128,0884990401,170.048032,6.594901,2.23950,0,,-0.14585,170.04803161,6.59490148,2.23950,6.2887,Par001
106939903010128,206939903010128,4XMM J112001.3+063607,115,0693990301,170.005643,6.602067,1.58672,0,,-0.64106,170.00564250,6.60206689,1.58672,12.591,Par001
106939903010013,206939901010016,4XMM J112009.1+063815,13,0693990301,170.038121,6.637560,0.40913,0,,-2.2121,170.03819783,6.63760591,0.26790,675.1,Par001
108849904010092,206939902015101,4XMM J112008.5+063442,92,0884990401,170.035652,6.578303,1.49424,0,,-0.61786,170.03576225,6.57841227,0.73580,30.435,Par001
106939901010044,206939901010044,4XMM J112006.7+063351,46,0693990101,170.028188,6.564353,1.30187,0,,-0.78859,170.02801307,6.56421585,0.46808,142.67,Par001
106939901010018,206939901010018,4XMM J112008.5+063405,18,0693990101,170.035385,6.568213,0.83358,0,,0.79765,170.03542068,6.56826808,0.32652,356.99,Par001
108849904010017,206939901010018,4XMM J112008.5+063405,17,0884990401,170.035576,6.568267,0.61177,0,,-2.0716,170.03542068,6.56826808,0.32652,356.99,Par001
106939902015101,206939902015101,4XMM J112008.5+063442,100,0693990201,170.035516,6.578485,1.22043,0,,-0.91652,170.03576225,6.57841227,0.73580,30.435,Par001
